bid_id,ad_id,id_bidder,date_bid,bid_price,bid_status
1,56,123,2023-07-24,417369464,Sent
2,56,129,2023-01-05,452529932,Sent
3,54,1,2023-02-16,375558608,Sent
4,60,113,2023-02-01,91164851,Sent
5,32,89,2023-03-16,253583633,Sent
6,100,136,2023-06-03,499654404,Sent
7,20,31,2023-05-06,268706055,Sent
8,21,86,2023-08-07,211367884,Sent
9,10,81,2022-11-16,386911286,Sent
10,23,71,2023-01-09,392466173,Sent
11,37,40,2023-05-02,279819533,Sent
12,50,123,2023-08-06,329413344,Sent
13,6,54,2023-03-09,345752002,Sent
14,87,136,2023-04-24,276581316,Sent
15,80,25,2023-06-18,154562183,Sent
16,55,128,2022-11-24,376721208,Sent
17,56,82,2022-09-09,220929493,Sent
18,6,112,2022-09-15,346895176,Sent
19,83,68,2022-10-17,126778017,Sent
20,12,11,2023-07-22,290565398,Sent
21,70,37,2022-10-29,185185607,Sent
22,6,75,2023-04-03,112731073,Sent
23,42,141,2023-06-16,202848368,Sent
24,54,44,2023-02-23,468259237,Sent
25,82,149,2023-05-30,133249149,Sent
26,76,67,2022-10-08,238392496,Sent
27,48,43,2022-11-10,156927257,Sent
28,56,141,2023-07-12,191456641,Sent
29,51,146,2023-08-03,309866292,Sent
30,41,10,2022-12-07,234253097,Sent
31,63,32,2023-07-27,220771428,Sent
32,92,94,2023-05-19,291905891,Sent
33,61,56,2023-06-03,346258090,Sent
34,6,130,2022-12-29,421510089,Sent
35,28,114,2023-07-08,261747210,Sent
36,42,39,2022-10-27,133299836,Sent
37,65,86,2022-12-08,416285308,Sent
38,48,146,2023-04-23,239948025,Sent
39,8,61,2022-09-28,166171026,Sent
40,86,40,2023-06-28,171269467,Sent
41,56,32,2022-10-06,140020084,Sent
42,46,55,2023-03-09,204253453,Sent
43,98,26,2023-04-25,298761280,Sent
44,1,78,2023-04-16,305928303,Sent
45,6,4,2023-06-17,362676566,Sent
46,79,68,2023-04-22,451188060,Sent
47,31,26,2022-10-11,171072981,Sent
48,8,130,2022-12-06,345332792,Sent
49,46,108,2023-04-28,248202496,Sent
50,84,127,2022-10-19,209199088,Sent
51,84,74,2023-06-25,164122822,Sent
52,87,14,2022-10-17,141811502,Sent
53,29,53,2023-06-14,449336993,Sent
54,29,78,2023-06-30,346185010,Sent
55,20,57,2023-08-03,378929596,Sent
56,61,45,2022-09-25,184243135,Sent
57,42,99,2023-03-02,157352729,Sent
58,20,6,2022-09-05,436771017,Sent
59,22,52,2022-12-04,437288584,Sent
60,2,102,2022-08-28,144061995,Sent
61,59,53,2023-04-29,229264849,Sent
62,27,68,2022-09-24,92869220,Sent
63,38,97,2023-04-19,93812248,Sent
64,8,45,2023-03-13,227248530,Sent
65,47,66,2022-12-08,445337978,Sent
66,100,108,2023-05-04,115076766,Sent
67,98,68,2022-12-02,91859134,Sent
68,31,18,2022-10-11,95782951,Sent
69,49,118,2023-02-04,234703280,Sent
70,85,4,2022-09-06,168475473,Sent
71,21,142,2022-10-26,116435139,Sent
72,41,71,2023-05-16,447073840,Sent
73,6,13,2023-07-12,352724982,Sent
74,58,62,2022-12-14,165294816,Sent
75,84,70,2022-12-20,434537737,Sent
76,20,112,2023-01-03,147779157,Sent
77,44,124,2022-11-16,314443537,Sent
78,41,146,2023-03-20,463315017,Sent
79,2,136,2022-10-30,185561550,Sent
80,78,69,2023-03-16,293490833,Sent
81,35,141,2023-03-12,477497292,Sent
82,25,69,2023-07-31,418813455,Sent
